category,year,annualGrammy,awardType,name,awardFor
Record Of The Year,1959,1,Individual,Nel Blu Dipinto Di Blu (Volare),Nel Blu Dipinto Di Blu (Volare)
Album Of The Year,1959,1,Work,Henry Mancini,The Music From Peter Gunn
Song Of The Year,1959,1,Individual,Nel Blu Dipinto Di Blu (Volare),Nel Blu Dipinto Di Blu (Volare)
"Best Vocal Performance, Female",1959,1,Work,Ella Fitzgerald,Ella Fitzgerald Sings The Irving Berlin Song Book
"Best Vocal Performance, Male",1959,1,Individual,Catch A Falling Star,Catch A Falling Star
Best Performance By An Orchestra,1959,1,Individual,Billy May's Big Fat Brass,Billy May's Big Fat Brass
Best Performance By A Dance Band,1959,1,Individual,Basie,Basie
Best Performance By A Vocal Group Or Chorus,1959,1,Individual,That Old Black Magic,That Old Black Magic
"Best Jazz Performance, Individual",1959,1,Work,Ella Fitzgerald,Ella Fitzgerald Sings The Duke Ellington Song Book
"Best Jazz Performance, Group",1959,1,Individual,Basie,Basie
Best Comedy Performance,1959,1,Individual,The Chipmunk Song,The Chipmunk Song
Best Country & Western Performance,1959,1,Individual,Tom Dooley,Tom Dooley
Best Rhythm & Blues Performance,1959,1,Individual,Tequila,Tequila
Best Arrangement,1959,1,Work,Henry Mancini,The Music From Peter Gunn
Best Engineered Record (Classical),1959,1,Individual,Duets With A Spanish Guitar,Duets With A Spanish Guitar
Best Engineered Record - Non-Classical,1959,1,Individual,The Chipmunk Song,The Chipmunk Song
Best Album Cover,1959,1,Work,Frank Sinatra,Only The Lonely
Best Musical Composition First Recorded And Released In 1958 (Over 5 Minutes Duration),1959,1,Individual,Cross Country Suite,Cross Country Suite
Best Original Cast Album (Broadway Or TV),1959,1,Individual,The Music Man,The Music Man
"Best Sound Track Album, Dramatic Picture Score Or Original Cast",1959,1,Work,André Previn,Gigi
"Best Performance, Documentary Or Spoken Word",1959,1,Individual,The Best Of The Stan Freberg Shows,The Best Of The Stan Freberg Shows
Best Recording For Children,1959,1,Individual,The Chipmunk Song,The Chipmunk Song
Best Classical Performance - Orchestra,1959,1,Individual,Gaiete Parisienne,Gaiete Parisienne
Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),1959,1,Individual,"Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23","Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23"
Best Classical Performance - Instrumentalist (Other Than Concerto-Scale Accompaniment),1959,1,Individual,Segovia Golden Jubilee,Segovia Golden Jubilee
Best Classical Performance - Chamber Music (Including Chamber Orchestra),1959,1,Individual,Beethoven: Quartet 130,Beethoven: Quartet 130
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),1959,1,Individual,Operatic Recital,Operatic Recital
Best Classical Performance - Operatic Or Choral,1959,1,Individual,Virtuoso,Virtuoso
Record Of The Year,1960,2,Individual,Mack The Knife,Mack The Knife
Album Of The Year,1960,2,Work,Frank Sinatra,Come Dance With Me
Song Of The Year,1960,2,Individual,The Battle Of New Orleans,The Battle Of New Orleans
"Best Vocal Performance, Female",1960,2,Work,Ella Fitzgerald,But Not For Me
"Best Vocal Performance, Male",1960,2,Work,Frank Sinatra,Come Dance With Me
Best Performance By A Dance Band,1960,2,Work,Duke Ellington,Anatomy Of A Murder
Best Performance By An Orchestra,1960,2,Work,André Previn,Like Young
Best Performance By A Vocal Group Or Chorus,1960,2,Individual,Battle Hymn Of The Republic,Battle Hymn Of The Republic
Best Jazz Performance - Soloist,1960,2,Work,Ella Fitzgerald,Ella Swings Lightly
Best Jazz Performance - Group,1960,2,Individual,I Dig Chicks,I Dig Chicks
